plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"Let P be a G-poset. The compatibility graph of P, denoted by C_P, is the graph C_P with vertex set P, and two elements x, y∈ P are adjacent if there is an element g∈ G∖{e} such that x and g· y are comparable in P.",Compatibility graph,G-poset###compatibility graph###C_P###vertex set###adjacent###element###comparable###G,compatibility graph
"Let P be a G-poset. The strong compatibility graph of P, denoted by C_P, is the graph C_P with vertex set P, and two elements x, y∈ P are adjacent if there is an element g∈ G∖{e} such that x and g· y are comparable in P and y∉ [x], where [x]={g· x : g∈ G}.",Strong compatibility graph,G-poset###strong compatibility graph###C_P###vertex set###adjacent###element###comparable###e###y###[x],strong compatibility graph
"
Let p=p_1p_2⋯ p_n be a permutation. 
We say that the pair (i,i+1) of indices (with 0≤ i≤ n)
 is a good pair
 in  p if any of the following conditions hold:
 
  * 1≤ i≤ n-1 and p_i+1=p_i+1, or

  * i=0 and p_1=1, or

  * i=n and p_n=n.


 A bad pair is any pair of consecutive  indices (j,j+1) with
0≤ j≤ n that
 is not a good pair.
",good pair;bad pair,good pair###bad pair,good pair###bad pair
"
The family of probability measures on partitions μ^(n) is called 
multiplicative if there exists a sequence of positive numbers 
{a̅_n}_n≥0 such that ∑_n a̅_n=1 and counts R_k 
are mutually independent 
with respect to the convex combination μ̅:=∑_n a̅_nμ^(n).
",multiplicative,multiplicative###probability measures###partitions###sequence###positive numbers###counts###mutually independent###convex combination,multiplicative
"
We call a family of measures μ^(n) ergodic if
there exists a sequence α^(n) and a piecewise continuous function 
φ:_+→_+
such that ∫_0^∞φ(t) dt=1 and 
for any finite collection 0< t_1<…<t_ℓ of its continuity points 
values ^(n)_λ(t_j), j=1,…,ℓ, 
converge to φ(t_j) in probability,
that is for any >0

    lim_n→∞μ^(n){λ|^(n)_λ(t_j)-φ(t_j)|< for all 
      j=1,…,ℓ}=1 .

The function φ is called a limit shape of partitions.
",ergodic;limit shape,ergodic###limit shape of partitions,ergodic###limit shape of partitions
"
A simplicial map f : X → Y between simplicial complexes X and Y is a map which sends vertices to vertices, and whenever vertices v_0, ..., v_k∈ X span a simplex σ of X then their images span a simplex τ of Y and we have f(σ) = τ.
Therefore a simplicial map is determined by its values on the vertex set of X.
A simplicial map is nondegenerate if it is injective on each simplex.
",simplicial map;nondegenerate,simplicial map###simplicial complexes###vertices###simplex###nondegenerate###injective,simplicial map###nondegenerate simplicial map
"
Let γ be a cycle in X.
A filling diagram for γ is a simplicial map f : D → X where D is a triangulated 2-disc, and f | _∂ D maps ∂ D isomorphically onto γ.
We denote a filling diagram for γ by (D,f) and we say it is

    
  * minimal if D has minimal area (it consists of the least possible number of 2-simplices among filling diagrams for γ);
    
  * nondegenerate if f is a nondegenerate map;
    
  * locally k-large if D is a locally k-large simplicial complex.

",filling diagram;minimal;nondegenerate;locally k-large,minimal###nondegenerate###locally k-large,filling diagram for γ###minimal###nondegenerate###locally k-large
"
Let X be a flag, simply connected simplicial complex and let γ be a loop in X.
We call X t-uniform , t ≥ 4, if in any minimal filling diagram (D,f) for γ, for any interior vertex v of D, we have |D_v| = t (i.e. any interior vertex v of D has t neighbours).
",t-uniform,t-uniform###minimal filling diagram###interior vertex###neighbours,t-uniform
"
	Let T be a triangulation on  (possibly with holes), g>0, and let d={e_1,e_2} be a planar double edge.
	If c≠ d is a face, edge, or double edge, we write c<d if the triangulation of the disc
	obtained by cutting along d contains c.

",planar,triangulation###holes###planar double edge###face###edge###disc###cutting along###contains,triangulation###planar double edge###face###edge###double edge
" Given n ∈ℕ and d ≥ 3, a nearly orthogonal array NOA(n,d) is an n^2 × d array A with symbols [n] such that:

    
  (a) the first column is v_1 and the second column is v_2, as defined above,
    
  (b) each symbol in [n] appears exactly n times in the third column v_3, and
    
  (c) for all i ≥ 4, the ith column v_i is orthogonal to all other columns in A.

",nearly orthogonal array,"NOA(n,d)###v_1###v_2###v_3###[n]###orthogonal array###symbols###column###array###ℕ","nearly orthogonal array NOA(n,d)"
