True Term Num,Extracted Term Num,TP,Cut Off,Too Long,Split Term,expected,extracted
1,8,1,1,0,1,Compatibility graph,G-poset###compatibility graph###C_P###vertex set###adjacent###element###comparable###G
1,10,1,1,0,1,Strong compatibility graph,G-poset###strong compatibility graph###C_P###vertex set###adjacent###element###comparable###e###y###[x]
2,2,2,0,0,2,good pair;bad pair,good pair###bad pair
1,8,1,0,0,1,multiplicative,multiplicative###probability measures###partitions###sequence###positive numbers###counts###mutually independent###convex combination
2,2,1,0,1,2,ergodic;limit shape,ergodic###limit shape of partitions
2,6,2,0,0,2,simplicial map;nondegenerate,simplicial map###simplicial complexes###vertices###simplex###nondegenerate###injective
4,3,3,0,0,3,filling diagram;minimal;nondegenerate;locally k-large,minimal###nondegenerate###locally k-large
1,4,1,0,0,1,t-uniform,t-uniform###minimal filling diagram###interior vertex###neighbours
1,8,0,0,1,1,planar,triangulation###holes###planar double edge###face###edge###disc###cutting along###contains
1,10,0,2,0,0,nearly orthogonal array,"NOA(n,d)###v_1###v_2###v_3###[n]###orthogonal array###symbols###column###array###ℕ"
1,6,0,1,1,1,exceptional,exceptional interval-poset###Hasse diagram###configuration###y###z###x
1,1,1,0,0,1,new,new###
1,10,1,0,0,1,new,new###interval-poset P###size n###increasing relation###decreasing relation###relations###form i+1 _P j+1###j_P i###i###j
1,17,0,1,1,1,Composition tableau,SSCT###shape γβ###cell###diagrams###skew diagram###row###column###attacks###filling T###semistandard composition tableau###Row entries###weakly decreasing###first column###strictly increasing###injective###range###n
1,4,1,0,0,1,Skew quasisymmetric Schur functions,skew quasisymmetric Schur functions###γβ###Δ_γ###⊗
1,8,0,0,1,1,C-equivalence,C-equivalent###permutations###C-equivalence class###rectified shape###SCT###skew shape###w_col(T)###complete###
3,21,3,3,0,3,descent Pieri operator;descent set;descent composition,"P###graded edge labeled poset###covers###labeled###elements###totally ordered set###B###descent Pieri operator###saturated chains###length###descent set###descents(ω)###descent composition###Des(ω)###composition###K_[x,y]###ch[x,y]###saturated chains###x###y###L_Des(ω)"
1,3,0,0,0,0,γ covers β,composition poset###β⋖_C γ###≤_C
2,11,2,0,0,2,vertical strip;horizontal strip,Strips###vertical strip###skew shape###partition###composition###horizontal strip###skew shape###diagram###cell###row###column
3,16,1,8,1,2,attacks;semistandard composition tableau T  (SSCT) of shape γβ;standard,SSCT###shape###composition tableau###skew diagram###row###column###cell###attacks###filling###semistandard composition tableau###Row###SSCT###SCT###injective###range###n
3,7,2,0,0,2,C-equivalent;rectified shape;rectified shape;complete,C-equivalence###C-equivalence class###rectified shape###SCT###skew shape###w_col(T)###complete###
1,2,1,0,0,1,rigidly related,T≎ T'###rigidly related###
2,9,2,1,0,2,dotted composition tableau;quasisymmetric Schur function in noncommuting variables,quasisymmetric Schur function in noncommuting variables###dotted composition tableau###shape###SSCT T###α###x^###monomial###position###dots
2,5,1,0,1,2,half-pairing;through strings,non-crossing partition###block###size 1###non-crossing half-pairing###through strings
3,6,0,0,5,2,out;not;out;in,non-crossing half-pairing###orientation###singleton###cyclic intervals###out orientation###in orientation
1,2,0,0,1,1,standard,cyclic reduction###standard cyclic reduction
1,10,0,2,0,0,m-composition of ∈ G over G,compositions###finite abelian group###m-composition###G###solution###nonzero element###addition###component-wise###modulo###weak compositions
1,12,0,0,1,1,recurrent,locally restricted compositions###digraph###empty composition###distinguished copy###subset###nonempty subset###arc###vertex###strongly connected###recurrent vertices###directed walks###span
4,4,3,0,1,4,transfer matrix;weight;start vector;finish vector,Transfer matrix###weights###start vector###finish vector
1,4,1,0,0,1,threshold graph,threshold graph###C_4###P_4###2K_2
1,8,1,1,0,1,d-expands,"d-expands###graph###set###V(G)###N_G(X, W)###X###⌈|W|/2d⌉###e_G(X,Y)"
1,6,1,0,0,1,strictly balanced,strictly balanced###graph###proper subgraph###vertices###d_1(H')###d_1(H)
1,4,1,0,0,1,k-matching,"k-matching###bipartite graph###star###K_1,k"
3,3,3,0,0,3,absorber;size;ends,absorber###size###ends
