term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
-transform,"
\label{kappa} If $C$ is an Euler system of a 4-regular multigraph $F$ and
$v\in V(F)$ then the $\kappa$\emph{-transform} $C\ast v$ is the Euler system
obtained by reversing one of the two $v$-to-$v$ trails within the circuit of
$C$ incident at $v$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
 If C is an Euler system of a 4-regular multigraph F and
v∈ V(F) then the κ-transform C∗ v is the Euler system
obtained by reversing one of the two v-to-v trails within the circuit of
C incident at v.
",-transform,"
 If C is an Euler system of a 4-regular multigraph F and
v∈ V(F) then the κB_MATH_TERM C∗ v is the Euler system
obtained by reversing one of the two v-to-v trails within the circuit of
C incident at v.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-transform,"
Let $F$ be a 4-regular multigraph with an Euler system $C$, and suppose
$W\subseteq V(F)$ has the property that an Euler system is obtained from $C$
by using the $\psi$ transition at every vertex in $W$, and the $\chi$
transition at every vertex not in $W$. Then this Euler system is the $\iota
$\emph{-transform} of $C$ with respect to $W$; we denote it $C\#W$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
Let F be a 4-regular multigraph with an Euler system C, and suppose
W⊆ V(F) has the property that an Euler system is obtained from C
by using the ψ transition at every vertex in W, and the χ
transition at every vertex not in W. Then this Euler system is the ι-transform of C with respect to W; we denote it C#W.
",-transform,"
Let F be a 4-regular multigraph with an Euler system C, and suppose
W⊆ V(F) has the property that an Euler system is obtained from C
by using the ψ transition at every vertex in W, and the χ
transition at every vertex not in W. Then this Euler system is the ιB_MATH_TERM of C with respect to W; we denote it C#W.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Permutahedron,"
Let $G=G(\Phi)$ be the Weyl group associated to $\Phi$ acting on $\R^n$. Fix a point  $x\in \R^n$ which is not on any of the hyperplanes in $\Sigma(\Phi)$. The convex hull of the orbit of $x$ under $G$, $$P_G(x)= \text{conv}(\{g.x~:~g\in G \})$$ is called a $\Phi$-\emph{Permutahedron} . 
",/home/shufan/que_tex/factorization_arxiv.tex,definition + \emph{},"
Let G=G(Φ) be the Weyl group associated to Φ acting on ^n. Fix a point  x∈^n which is not on any of the hyperplanes in Σ(Φ). The convex hull of the orbit of x under G, 
    P_G(x)= conv({g.x : g∈ G })
 is called a Φ-Permutahedron . 
",Permutahedron,"
Let G=G(Φ) be the Weyl group associated to Φ acting on ^n. Fix a point  x∈^n which is not on any of the hyperplanes in Σ(Φ). The convex hull of the orbit of x under G, 
    P_G(x)= conv({g.x : g∈ G })
 is called a Φ-B_MATH_TERM . 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
pseudorandom,"\label{def:trans}
Let $f:[1,N]\rightarrow\R$ be an arbitrary function.
\begin{enumerate}
\item The function $f$ is said to be $\eta$-\textit{pseudorandom} if
$|\hat{f}(r/N)-\delta_{r,0}N|\leq\eta N$ for each $r\in\Z/N\Z$,
where $\delta_{r,0}$ is the Kronecker delta.
\item The function $f$ is said to satisfy the $L^q$ extension
estimate if $\|\hat{f}\|_q\ll_q N^{1-1/q}$, where the implied
constant depends only on $q$.
\item The function $f$ is said to be $(\beta,\kappa)$-regular if
\[ \sum_{(u,v)\in M}f(u)f(v)\geq\kappa N^2, \]
where
\[ M=\{(u,v):u\leq\beta N,v\geq (1-\beta)N,(v-u,P(\beta^{-1}))=1\}. \]
\end{enumerate}
",/home/shufan/que_tex/vinogradov.tex,definition + \textit{},"
Let f:[1,N]→ be an arbitrary function.


  * The function f is said to be η-pseudorandom if
|f̂(r/N)-δ_r,0N|≤η N for each r∈/N,
where δ_r,0 is the Kronecker delta.

  * The function f is said to satisfy the L^q extension
estimate if f̂_q≪_q N^1-1/q, where the implied
constant depends only on q.

  * The function f is said to be (β,κ)-regular if

    ∑_(u,v)∈ Mf(u)f(v)≥κ N^2,

where

    M={(u,v):u≤β N,v≥ (1-β)N,(v-u,P(β^-1))=1}.


",pseudorandom,"
Let f:[1,N]→ be an arbitrary function.


  * The function f is said to be η-B_MATH_TERM if
|f̂(r/N)-δ_r,0N|≤η N for each r∈/N,
where δ_r,0 is the Kronecker delta.

  * The function f is said to satisfy the L^q extension
estimate if f̂_q≪_q N^1-1/q, where the implied
constant depends only on q.

  * The function f is said to be (β,κ)-regular if

    ∑_(u,v)∈ Mf(u)f(v)≥κ N^2,

where

    M={(u,v):u≤β N,v≥ (1-β)N,(v-u,P(β^-1))=1}.


",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
jumbled,"
Let $p=p(n)$ be a sequence of densities, i.e., $0\leq p\leq 1 $, and let $\beta=\beta(n)$.
An $n$-vertex graph $\Gamma$ is called $(p,\beta)$-\emph{jumbled} if 
\begin{equation*}
\left|e_{\Gamma}(X,Y)-p\vol(X,Y)\right| \leq \beta \vol(X,Y)^{1/2},
\end{equation*}
for all $X,Y \subseteq V(\Gamma).$
",/home/shufan/que_tex/1602.03663.tex,definition + \emph{},"
Let p=p(n) be a sequence of densities, i.e., 0≤ p≤ 1, and let β=β(n).
An n-vertex graph Γ is called (p,β)-jumbled if 

    |e_Γ(X,Y)-p(X,Y)| ≤β(X,Y)^1/2,

for all X,Y ⊆ V(Γ).
",jumbled,"
Let p=p(n) be a sequence of densities, i.e., 0≤ p≤ 1, and let β=β(n).
An n-vertex graph Γ is called (p,β)-B_MATH_TERM if 

    |e_Γ(X,Y)-p(X,Y)| ≤β(X,Y)^1/2,

for all X,Y ⊆ V(Γ).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ordinary triangle,"[$c$-ordinary triangle]
Let $c$ be a natural number and  let $P$ be a point set in the plane. 
A $c$-\textit{ordinary triangle} in $P$ is 
a subset of $P$ consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most $c$ points of $P$.
",/home/shufan/que_tex/cgta1585.tex,definition + \textit{},"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-ordinary triangle in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",ordinary triangle,"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-B_MATH_TERM I_MATH_TERM in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Intersecting embeddings,"Let $\mathbf{V}=(V_n)_{n \in \N}$ be an ssee. Let $N_1$,~$N_2 \leq n$.  An \emph{$i$-intersecting embedding} of~$(V_{N_1}, V_{N_2})$ into $V_n$ is a function $\phi: \ V_{N_1}\sqcup V_{N_2}\rightarrow V_n$ such that:
	\begin{enumerate}[(i)]
		\item the restriction of $\phi$ to  $V_{N_1}$ lies in $\binom{V_n}{V_{N_1}}$, and the restriction of $\phi$ to $V_{N_2}$ lies in $\binom{V_n}{V_{N_2}}$;
		\item $\vert \phi(V_{N_1})\cap \phi(V_{N_2})\vert=i$.
	\end{enumerate}
	We denote by $I_i\bigl( (V_{N_1}, V_{N_2}), V_n\bigr)$ the number of $i$-intersecting embeddings of $(V_{N_1}, V_{N_2})$ into $V_n$, and set
	\[I(N, n):=\sum_{1<i<\vert V_N\vert} I_i\bigl( (V_{N}, V_{N}), V_n\bigr).\]",/home/shufan/que_tex/containerpaperarxivupdate.tex,definition[],"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-intersecting embeddings of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",Intersecting embeddings,"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-B_MATH_TERM I_MATH_TERM of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O
subchromatic,"
For $F$ an edge-coloring of $K_n$ and $S \subseteq R$ a set of colors, we write that a set $Z$ of vertices is $S$-\emph{subchromatic} in $F$ if every edge internal to $Z$ takes colors (under $F$) only from $S$.
",/home/shufan/que_tex/1303.2951.tex,definition + \emph{},"
For F an edge-coloring of K_n and S ⊆ R a set of colors, we write that a set Z of vertices is S-subchromatic in F if every edge internal to Z takes colors (under F) only from S.
",subchromatic,"
For F an edge-coloring of K_n and S ⊆ R a set of colors, we write that a set Z of vertices is S-B_MATH_TERM in F if every edge internal to Z takes colors (under F) only from S.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
locally based on,"\label{31} Fix $\I, \J$ $L'$-structures and a sublanguage $L^\ast \subseteq L'$.  Fix a set of parameters $\In := (a_i : i \in I)$. 
\begin{enumerate}
\item We say the $J$-indexed set $(b_i : i \in J)$ 
is \emph{$L^\ast$-locally based on the $a_i$ ($L^\ast$-locally based on $\In$)} if for any finite set of $L$-formulas, $\Delta$, and for any finite tuple $(t_1, \ldots, t_n)$ from $J$, there exists a tuple $(s_1, \ldots, s_n)$ from $I$ such that 

$\qt^{L^\ast}(\ov{t};\J)=\qt^{L^\ast}(\ov{s};\I)$, 

\nin and

$\textrm{tp}^{\Delta}(\ov{b}_{\ov{t}}; \Mm) = \textrm{tp}^{\Delta}(\ov{a}_{\ov{s}}; \Mm)$.

\vspace{.1in}

\noindent We abbreviate this condition by ``the $b_i$ are $L^\ast$-locally based on the $a_i$.''

\item If the $J$-indexed set $(b_i : i \in J)$ is $L'$-locally based on the $a_i$, we omit mention of $L'$. 
\end{enumerate}",/home/shufan/que_tex/emtp_arxiv14.tex,definition[]," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-locally based on the a_i (L^∗-locally based on ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-locally based on the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-locally based on the a_i, we omit mention of L'. 
",locally based on," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i (L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i, we omit mention of L'. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O
rank;rank;rank,"\label{ranksOfReductions}
 If $G$ is a graph, $W$ is a reducible set of vertices in $G$, and $W_1,W_2 \subset V \backslash W$ are two sets of vertices in $\Gamma_W(G)$, then
\begin{equation}
 \emph{rank}_{\Gamma_W(G)}(W_1,W_2) = \emph{rank}_G(W \cup W_1, W \cup W_2) - \emph{rank}_G(W).
\end{equation}
",/home/shufan/que_tex/JournalVersion.tex,theorem + \emph{},"
 If G is a graph, W is a reducible set of vertices in G, and W_1,W_2 ⊂ V \ W are two sets of vertices in Γ_W(G), then

    rank_Γ_W(G)(W_1,W_2) = rank_G(W ∪ W_1, W ∪ W_2) - rank_G(W).

",rank;rank;rank,"
 If G is a graph, W is a reducible set of vertices in G, and W_1,W_2 ⊂ V \ W are two sets of vertices in Γ_W(G), then

    B_MATH_TERM_Γ_W(G)(W_1,W_2) = B_MATH_TERM_G(W ∪ W_1, W ∪ W_2) - B_MATH_TERM_G(W).

",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
