term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
ordinary triangle,"[$c$-ordinary triangle]
Let $c$ be a natural number and  let $P$ be a point set in the plane. 
A $c$-\textit{ordinary triangle} in $P$ is 
a subset of $P$ consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most $c$ points of $P$.
",/home/shufan/que_tex/cgta1585.tex,definition + \textit{},"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-ordinary triangle in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",ordinary triangle,"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-B_MATH_TERM I_MATH_TERM in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Intersecting embeddings,"Let $\mathbf{V}=(V_n)_{n \in \N}$ be an ssee. Let $N_1$,~$N_2 \leq n$.  An \emph{$i$-intersecting embedding} of~$(V_{N_1}, V_{N_2})$ into $V_n$ is a function $\phi: \ V_{N_1}\sqcup V_{N_2}\rightarrow V_n$ such that:
	\begin{enumerate}[(i)]
		\item the restriction of $\phi$ to  $V_{N_1}$ lies in $\binom{V_n}{V_{N_1}}$, and the restriction of $\phi$ to $V_{N_2}$ lies in $\binom{V_n}{V_{N_2}}$;
		\item $\vert \phi(V_{N_1})\cap \phi(V_{N_2})\vert=i$.
	\end{enumerate}
	We denote by $I_i\bigl( (V_{N_1}, V_{N_2}), V_n\bigr)$ the number of $i$-intersecting embeddings of $(V_{N_1}, V_{N_2})$ into $V_n$, and set
	\[I(N, n):=\sum_{1<i<\vert V_N\vert} I_i\bigl( (V_{N}, V_{N}), V_n\bigr).\]",/home/shufan/que_tex/containerpaperarxivupdate.tex,definition[],"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-intersecting embeddings of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",Intersecting embeddings,"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-B_MATH_TERM I_MATH_TERM of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O
locally based on,"\label{31} Fix $\I, \J$ $L'$-structures and a sublanguage $L^\ast \subseteq L'$.  Fix a set of parameters $\In := (a_i : i \in I)$. 
\begin{enumerate}
\item We say the $J$-indexed set $(b_i : i \in J)$ 
is \emph{$L^\ast$-locally based on the $a_i$ ($L^\ast$-locally based on $\In$)} if for any finite set of $L$-formulas, $\Delta$, and for any finite tuple $(t_1, \ldots, t_n)$ from $J$, there exists a tuple $(s_1, \ldots, s_n)$ from $I$ such that 

$\qt^{L^\ast}(\ov{t};\J)=\qt^{L^\ast}(\ov{s};\I)$, 

\nin and

$\textrm{tp}^{\Delta}(\ov{b}_{\ov{t}}; \Mm) = \textrm{tp}^{\Delta}(\ov{a}_{\ov{s}}; \Mm)$.

\vspace{.1in}

\noindent We abbreviate this condition by ``the $b_i$ are $L^\ast$-locally based on the $a_i$.''

\item If the $J$-indexed set $(b_i : i \in J)$ is $L'$-locally based on the $a_i$, we omit mention of $L'$. 
\end{enumerate}",/home/shufan/que_tex/emtp_arxiv14.tex,definition[]," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-locally based on the a_i (L^∗-locally based on ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-locally based on the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-locally based on the a_i, we omit mention of L'. 
",locally based on," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i (L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i, we omit mention of L'. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O
star graph,"
	Let $r$ and $t$ be positive integers. The \index{double star graph}\emph{star graph} denoted by $S_{r,t}$ is defined by the graph union $S_{r} \cup S_{t}$ and connecting the two centers of the two stars.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let r and t be positive integers. The double star graphstar graph denoted by S_r,t is defined by the graph union S_r∪ S_t and connecting the two centers of the two stars.
",star graph,"
	Let r and t be positive integers. The double star graphB_MATH_TERM I_MATH_TERM denoted by S_r,t is defined by the graph union S_r∪ S_t and connecting the two centers of the two stars.
",O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O
wheel graph,"
	Let $n$ be a positive integer larger than three. The \index{wheel graph}\emph{wheel graph} denoted by $W_{n}$ is defined by the graph join $C_{n}+K_{1}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer larger than three. The wheel graphwheel graph denoted by W_n is defined by the graph join C_n+K_1.
",wheel graph,"
	Let n be a positive integer larger than three. The wheel graphB_MATH_TERM I_MATH_TERM denoted by W_n is defined by the graph join C_n+K_1.
",O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O
triangular book graph,"
	Let $n$ be a positive integer. The \index{triangular book graph}\emph{triangular book graph} denoted by $B_{n}$ is defined by the graph join $nK_{1}+K_{2}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer. The triangular book graphtriangular book graph denoted by B_n is defined by the graph join nK_1+K_2.
",triangular book graph,"
	Let n be a positive integer. The triangular book graphB_MATH_TERM I_MATH_TERM I_MATH_TERM denoted by B_n is defined by the graph join nK_1+K_2.
",O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O
quadrilateral book graph,"
	Let $n$ be a positive integer. The \index{quadrilateral book graph}\emph{quadrilateral book graph} denoted by $B_{n,2}$ is defined by the graph join $nK_{2}+k_{2}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer. The quadrilateral book graphquadrilateral book graph denoted by B_n,2 is defined by the graph join nK_2+k_2.
",quadrilateral book graph,"
	Let n be a positive integer. The quadrilateral book graphB_MATH_TERM I_MATH_TERM I_MATH_TERM denoted by B_n,2 is defined by the graph join nK_2+k_2.
",O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O
Freiman isomorphic,"
Let $A$ and $B$ be finite subsets of abelian groups (not necessarily equal). We say that $A$ and $B$ are $m$-\emph{Freiman isomorphic} if there exists a bijection $f:A\to B$ such that 
\begin{eqnarray*}
f(a_1)+f(a_2)\ldots+f(a_m)&=& f(a_1')+f(a_2')\ldots+f(a_m')\\
&\Updownarrow&\\
a_1+\ldots+a_m&=&a_1'+\ldots+a_m'.
\end{eqnarray*}
",/home/shufan/que_tex/dilatesums.tex,definition + \emph{},"
Let A and B be finite subsets of abelian groups (not necessarily equal). We say that A and B are m-Freiman isomorphic if there exists a bijection f:A→ B such that 

    f(a_1)+f(a_2)…+f(a_m)   =    f(a_1')+f(a_2')…+f(a_m')
       ⇕   
    
    a_1+…+a_m   =   a_1'+…+a_m'.

",Freiman isomorphic,"
Let A and B be finite subsets of abelian groups (not necessarily equal). We say that A and B are m-B_MATH_TERM I_MATH_TERM if there exists a bijection f:A→ B such that 

    f(a_1)+f(a_2)…+f(a_m)   =    f(a_1')+f(a_2')…+f(a_m')
       ⇕   
    
    a_1+…+a_m   =   a_1'+…+a_m'.

",O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O
Oriented spanning forest,"%Let $G$ be a finite connected simple graph, and let $Z$ be a nonempty subset of $V(G)$.
A \emph{$Z$-oriented spanning forest} of $G$ is an oriented subgraph $F$ of $G$ such that
\begin{enumerate}
\item Every vertex in $Z$ has outdegree $0$ in $F$;
\item Every vertex in $G \setminus Z$ has outdegree 1 in $F$; and
\item $F$ contains no directed cycles. \qedhere
\end{enumerate}
%
%
%for any vertex $x$ not in $Z$, there exists a unique directed path in the  subgraph 
%that starts at $x$ and ends at $Z$.",/home/shufan/que_tex/Rotor_walk_transient_wsf.tex,definition[],"
A Z-oriented spanning forest of G is an oriented subgraph F of G such that


  * Every vertex in Z has outdegree 0 in F;

  * Every vertex in G ∖ Z has outdegree 1 in F; and

  * F contains no directed cycles. 



",Oriented spanning forest,"
A Z-B_MATH_TERM I_MATH_TERM I_MATH_TERM of G is an oriented subgraph F of G such that


  * Every vertex in Z has outdegree 0 in F;

  * Every vertex in G ∖ Z has outdegree 1 in F; and

  * F contains no directed cycles. 



",O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Oriented uniform spanning forest,"\label{definition: usf}
% Let $G$ be a finite graph, and let $Z$ be a nonempty subset of $V(G)$.
 The \emph{$Z$-oriented uniform spanning forest} , denoted by $\ousf(G,Z)$, is the uniform probability distribution on $Z$-oriented spanning forests of $G$.",/home/shufan/que_tex/Rotor_walk_transient_wsf.tex,definition[],"

 The Z-oriented uniform spanning forest , denoted by (G,Z), is the uniform probability distribution on Z-oriented spanning forests of G.",Oriented uniform spanning forest,"

 The Z-B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM , denoted by (G,Z), is the uniform probability distribution on Z-oriented spanning forests of G.",O O I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O
