term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def
$\leq \text{on graphs}$,"\begin{itemize}
$$$$
\item Assign Graph G the word $(C_1,...,C_{n-1})$ of its sets of k-cuts, then
\item $G \leq G' \iff (C_1,...C_{n-1}) \leq (C_1',...,C_{n-1}') \text{ lexicographically }$, where $C_i = ( c_1, c_2, ..., c_{\binom{n-1}{i}} )$ $\text{ is a set of integer partitions}$
\item $C_i \leq C_i' \iff (c_1, ..., c_{\binom{n-1}{i}} ) \leq c_1', ..., c_{\binom{n-1}{i}}') \text{ lexicographically, where } c_j = (n_1, ... , n_{i+1})$ $\text{ is an integer partition of n}$ \item $c_j \leq c_j' \iff (n_1, ... ,n_{i+1}) \leq (n_1', ... ,n_{i+1}') \text{ lexicographically}$
\end{itemize}",/home/shufan/que_tex/CSPpaper.tex,definition[],"

    


  * Assign Graph G the word (C_1,...,C_n-1) of its sets of k-cuts, then

  * G ≤ G'  (C_1,...C_n-1) ≤ (C_1',...,C_n-1')  lexicographically, where C_i = ( c_1, c_2, ..., c_n-1i ) is a set of integer partitions

  * C_i ≤ C_i'  (c_1, ..., c_n-1i ) ≤ c_1', ..., c_n-1i')  lexicographically, where  c_j = (n_1, ... , n_i+1) is an integer partition of n 
  * c_j ≤ c_j'  (n_1, ... ,n_i+1) ≤ (n_1', ... ,n_i+1')  lexicographically
",≤on graphs,"

    


  * Assign Graph G the word (C_1,...,C_n-1) of its sets of k-cuts, then

  * G ≤ G'  (C_1,...C_n-1) ≤ (C_1',...,C_n-1')  lexicographically, where C_i = ( c_1, c_2, ..., c_n-1i ) is a set of integer partitions

  * C_i ≤ C_i'  (c_1, ..., c_n-1i ) ≤ c_1', ..., c_n-1i')  lexicographically, where  c_j = (n_1, ... , n_i+1) is an integer partition of n 
  * c_j ≤ c_j'  (n_1, ... ,n_i+1) ≤ (n_1', ... ,n_i+1')  lexicographically
"
Testability for graph properties,"\label{testgraph}\cite{RS}  A graph property $\P$ is said to be \emph{locally testable with one-sided error} , or \emph{testable} for short, if for every $\eps > 0$ there exists $N \geq 1$ and a real number $\delta > 0$ with the following property: whenever $G = (V,E)$ is a graph with $N \leq |V| < \infty$ which locally almost obeys $\P$ in the sense that
\begin{equation}\label{voom}
\frac{1}{|\binom{V}{N}|} |\{ W \in \binom{V}{N}: G \downharpoonright_W \in \P^{(W)} \}| \geq 1-\delta
\end{equation}
(thus most $N$-element induced subgraphs of $G$ obey $\P$), then there exists $G' = (V,E')$ obeying $\P$ which is close to $G$ in the sense that $\frac{1}{\binom{V}{2}} |E \Delta E'| \leq \eps$.",/home/shufan/que_tex/hereditary_submit.tex,definition[],"<cit.>  A graph property  is said to be locally testable with one-sided error , or testable for short, if for every > 0 there exists N ≥ 1 and a real number δ > 0 with the following property: whenever G = (V,E) is a graph with N ≤ |V| < ∞ which locally almost obeys  in the sense that

    1/|VN| |{ W ∈VN: G ⇂_W ∈^(W)}| ≥ 1-δ

(thus most N-element induced subgraphs of G obey ), then there exists G' = (V,E') obeying  which is close to G in the sense that 1/V2 |E Δ E'| ≤.",Testability for graph properties,"<cit.>  A graph property  is said to be locally testable with one-sided error , or testable for short, if for every > 0 there exists N ≥ 1 and a real number δ > 0 with the following property: whenever G = (V,E) is a graph with N ≤ |V| < ∞ which locally almost obeys  in the sense that

    1/|VN| |{ W ∈VN: G ⇂_W ∈^(W)}| ≥ 1-δ

(thus most N-element induced subgraphs of G obey ), then there exists G' = (V,E') obeying  which is close to G in the sense that 1/V2 |E Δ E'| ≤."
Weak local repairability,"\label{wlr}  Let ${\mathcal P}$ be a graph property.  We say that ${\mathcal P}$ is \emph{weakly locally repairable} if for every $\eps > 0$ there exists a finite set $A$, an integer $N \geq |A|+2$, and a $\delta > 0$ with the following property: if $G = (V,E)$ is a graph with $N \leq |V| < \infty$ which almost obeys ${\mathcal P}$ in the sense of \eqref{voom}, then there exists an embedding of $A$ in $V$ (thus identifying $V$ with $A \uplus V'$ for some $|V'| = |V| - |A|$) and a local modification rule $(A,T)$ such that $G' = (V',E') := T^{(V')}(G)$ obeys ${\mathcal P}$, and $G'$ is close to $G$ in the sense that 
$$|E' \Delta (E\downharpoonright_{V'})| \leq \eps |\binom{V'}{2}|$$
where $E\downharpoonright_{V'} := E \cap \binom{V'}{2}$.",/home/shufan/que_tex/hereditary_submit.tex,definition[],"  Let 𝒫 be a graph property.  We say that 𝒫 is weakly locally repairable if for every > 0 there exists a finite set A, an integer N ≥ |A|+2, and a δ > 0 with the following property: if G = (V,E) is a graph with N ≤ |V| < ∞ which almost obeys 𝒫 in the sense of (<ref>), then there exists an embedding of A in V (thus identifying V with A ⊎ V' for some |V'| = |V| - |A|) and a local modification rule (A,T) such that G' = (V',E') := T^(V')(G) obeys 𝒫, and G' is close to G in the sense that 

    |E' Δ (E⇂_V')| ≤ |V'2|

where E⇂_V' := E ∩V'2.",Weak local repairability,"  Let 𝒫 be a graph property.  We say that 𝒫 is weakly locally repairable if for every > 0 there exists a finite set A, an integer N ≥ |A|+2, and a δ > 0 with the following property: if G = (V,E) is a graph with N ≤ |V| < ∞ which almost obeys 𝒫 in the sense of (<ref>), then there exists an embedding of A in V (thus identifying V with A ⊎ V' for some |V'| = |V| - |A|) and a local modification rule (A,T) such that G' = (V',E') := T^(V')(G) obeys 𝒫, and G' is close to G in the sense that 

    |E' Δ (E⇂_V')| ≤ |V'2|

where E⇂_V' := E ∩V'2."
Hereditary hypergraph properties,"\label{hered}  Let $K = (K_j)_{j=0}^\infty$ be a finite palette.  A \emph{hereditary $K$-property} is an assignment $\P: V \mapsto \P^{(V)}$ of a collection $\P^{(V)} \subset K^{(V)}$ of $K$-coloured hypergraphs on $V$ for every\footnote{Technically, the class of finite vertex sets is not itself a set, and so $\P$ is a class function rather than a function.  If one wishes to work with actual functions, one restricting attention to vertex sets which are (for instance) subsets of the integers.  As this issue does not make any actual impact on our arguments, we shall henceforth ignore it.}  finite vertex set $V$, such that
\begin{equation}\label{kphi}
K^{(\phi)}( \P^{(V)} ) \subset \P^{(W)}
\end{equation}
for every morphism $\phi \in \Hom(W,V)$ between finite vertex sets.  In particular, the $K$-property $\P$ is invariant under hypergraph isomorphism and preserved under hypergraph restriction\footnote{In category-theoretic language, one can view $\P$ (like $K$) as a contravariant functor, in which $\P^{(\phi)}: \P^{(V)} \to \P^{(W)}$ is the restriction of the pullback map $K^{(\phi)}$ to $\P^{(V)}$ for any injection $\phi: W \to V$; see Example \ref{propfunc}.}.  We say that the $K$-property $\P$ is \emph{undirected} if $\P^{(V)}$ consists entirely of undirected hypergraphs for each vertex set $V$.  We extend $\P$ to countably infinite vertex sets $V$ by declaring
$$\P^{(V)} := \{ G \in K^{(V)}: G\downharpoonright_W \in \P^{(W)} \hbox{ for all finite } W \subset V \}.$$
We say that a hypergraph $G \in K^{(V)}$ \emph{obeys} $\P$ if $G \in \P^{(V)}$.",/home/shufan/que_tex/hereditary_submit.tex,definition[],"  Let K = (K_j)_j=0^∞ be a finite palette.  A hereditary K-property is an assignment : V ↦^(V) of a collection ^(V)⊂ K^(V) of K-coloured hypergraphs on V for every[Technically, the class of finite vertex sets is not itself a set, and so  is a class function rather than a function.  If one wishes to work with actual functions, one restricting attention to vertex sets which are (for instance) subsets of the integers.  As this issue does not make any actual impact on our arguments, we shall henceforth ignore it.]  finite vertex set V, such that

    K^(ϕ)( ^(V) ) ⊂^(W)

for every morphism ϕ∈(W,V) between finite vertex sets.  In particular, the K-property  is invariant under hypergraph isomorphism and preserved under hypergraph restriction[In category-theoretic language, one can view  (like K) as a contravariant functor, in which ^(ϕ): ^(V)→^(W) is the restriction of the pullback map K^(ϕ) to ^(V) for any injection ϕ: W → V; see Example <ref>.].  We say that the K-property  is undirected if ^(V) consists entirely of undirected hypergraphs for each vertex set V.  We extend  to countably infinite vertex sets V by declaring

    ^(V) := { G ∈ K^(V): G⇂_W ∈^(W) for all finite  W ⊂ V }.

We say that a hypergraph G ∈ K^(V) obeys  if G ∈^(V).",Hereditary hypergraph properties,"  Let K = (K_j)_j=0^∞ be a finite palette.  A hereditary K-property is an assignment : V ↦^(V) of a collection ^(V)⊂ K^(V) of K-coloured hypergraphs on V for every[Technically, the class of finite vertex sets is not itself a set, and so  is a class function rather than a function.  If one wishes to work with actual functions, one restricting attention to vertex sets which are (for instance) subsets of the integers.  As this issue does not make any actual impact on our arguments, we shall henceforth ignore it.]  finite vertex set V, such that

    K^(ϕ)( ^(V) ) ⊂^(W)

for every morphism ϕ∈(W,V) between finite vertex sets.  In particular, the K-property  is invariant under hypergraph isomorphism and preserved under hypergraph restriction[In category-theoretic language, one can view  (like K) as a contravariant functor, in which ^(ϕ): ^(V)→^(W) is the restriction of the pullback map K^(ϕ) to ^(V) for any injection ϕ: W → V; see Example <ref>.].  We say that the K-property  is undirected if ^(V) consists entirely of undirected hypergraphs for each vertex set V.  We extend  to countably infinite vertex sets V by declaring

    ^(V) := { G ∈ K^(V): G⇂_W ∈^(W) for all finite  W ⊂ V }.

We say that a hypergraph G ∈ K^(V) obeys  if G ∈^(V)."
Testability,"\label{Testdef}\cite{RS}  Let $K$ be a finite palette of some order $k \geq 0$, and let $\P$ be a hereditary $K$-property.  We say that $\P$ is \emph{testable with one-sided error} if, for every $\eps > 0$, there exists an integer $N \geq 1$ and a real number $\delta > 0$ with the following property: if $G \in K^{(V)}$ is a $K$-coloured hypergraph with $N \leq |V| < \infty$ which
locally almost obeys $\P$ in the sense that
\begin{equation}\label{injv}
\frac{1}{|\binom{V}{N}|} |\{ W \in \binom{V}{N}: G\downharpoonright_W \in \P^{(W)} \}| \geq 1-\delta,
\end{equation}
then there exists $G' \in \P^{(V)}$ which is close to $G$ in the sense that
\begin{equation}\label{gv}
\frac{1}{|\binom{V}{k}|} |\{ W \in \binom{V}{k}: G\downharpoonright_W \neq G'\downharpoonright_W \}| \leq \eps.
\end{equation}",/home/shufan/que_tex/hereditary_submit.tex,definition[],"<cit.>  Let K be a finite palette of some order k ≥ 0, and let  be a hereditary K-property.  We say that  is testable with one-sided error if, for every > 0, there exists an integer N ≥ 1 and a real number δ > 0 with the following property: if G ∈ K^(V) is a K-coloured hypergraph with N ≤ |V| < ∞ which
locally almost obeys  in the sense that

    1/|VN| |{ W ∈VN: G⇂_W ∈^(W)}| ≥ 1-δ,

then there exists G' ∈^(V) which is close to G in the sense that

    1/|Vk| |{ W ∈Vk: G⇂_W ≠ G'⇂_W }| ≤.
",Testability,"<cit.>  Let K be a finite palette of some order k ≥ 0, and let  be a hereditary K-property.  We say that  is testable with one-sided error if, for every > 0, there exists an integer N ≥ 1 and a real number δ > 0 with the following property: if G ∈ K^(V) is a K-coloured hypergraph with N ≤ |V| < ∞ which
locally almost obeys  in the sense that

    1/|VN| |{ W ∈VN: G⇂_W ∈^(W)}| ≥ 1-δ,

then there exists G' ∈^(V) which is close to G in the sense that

    1/|Vk| |{ W ∈Vk: G⇂_W ≠ G'⇂_W }| ≤.
"
Continuous hypergraphs,"\label{contmap}  Let $K$ be a finite palette. A \emph{$K$-coloured continuous hypergraph} is a quadruplet $G = (V,\B,\nu,(G_j)_{j=0}^\infty)$, where $(V,\B,\nu)$ is a probability space, and $G_j: V^j \to K_j$ is a measurable map for each $j \geq 0$. If $W$ is an vertex set, we define the \emph{sampling map} $\overline{G}^{(W)}: V^W \to K^{(W)}$ by the formula
$$ \overline{G}^{(W)}( v )_j(\phi) = G_j(v \circ \phi)$$
for all $j \geq 0$, all $\phi \in \Hom([j],W)$, and all $v \in V^W$, where we view $v$ as a function from $W$ to $V$ (and identify $V^j$ with $V^{[j]}$).  If $\P$ is a $K$-property, we say that $G$ \emph{obeys} $\P$ if $\overline{G}^{(W)}(v) \in \P^{(W)}$ for all vertex sets $W$ and all $v \in V^W$.",/home/shufan/que_tex/hereditary_submit.tex,definition[],"  Let K be a finite palette. A K-coloured continuous hypergraph is a quadruplet G = (V,,ν,(G_j)_j=0^∞), where (V,,ν) is a probability space, and G_j: V^j → K_j is a measurable map for each j ≥ 0. If W is an vertex set, we define the sampling map G^(W): V^W → K^(W) by the formula

    G^(W)( v )_j(ϕ) = G_j(v ∘ϕ)

for all j ≥ 0, all ϕ∈([j],W), and all v ∈ V^W, where we view v as a function from W to V (and identify V^j with V^[j]).  If  is a K-property, we say that G obeys  if G^(W)(v) ∈^(W) for all vertex sets W and all v ∈ V^W.",Continuous hypergraphs,"  Let K be a finite palette. A K-coloured continuous hypergraph is a quadruplet G = (V,,ν,(G_j)_j=0^∞), where (V,,ν) is a probability space, and G_j: V^j → K_j is a measurable map for each j ≥ 0. If W is an vertex set, we define the sampling map G^(W): V^W → K^(W) by the formula

    G^(W)( v )_j(ϕ) = G_j(v ∘ϕ)

for all j ≥ 0, all ϕ∈([j],W), and all v ∈ V^W, where we view v as a function from W to V (and identify V^j with V^[j]).  If  is a K-property, we say that G obeys  if G^(W)(v) ∈^(W) for all vertex sets W and all v ∈ V^W."
"Local modification rule, concrete definition","\label{concmod} Let $K = (K_j)_{j=0}^k$ be a finite palette.  A \emph{local modification rule} is a pair $T = (A, T)$, where $A$ is a finite vertex set, and $T$ is a collection of maps $T_j: K^{(A \uplus [j])} \to K_{=j}^{([j])}$ for $0 \leq j \leq k$ which obey the $\Hom([j],[j])$-equivariance condition
$$ K_{=j}^{(\phi)} \circ T_j = T_j \circ K^{(\id_A \uplus \phi)}$$
for all $\phi \in \Hom([j],[j])$.  Given such a rule, and given a vertex set $V$, we define the modification map $\overline{T}^{(V)}: K^{(A \uplus V)} \to K^{(V)}$ by the formula
$$ \overline{T}^{(V)}(G)_j(\phi) := T_j(K^{(\id_A \uplus \phi)}(G))(\phi)$$
for every vertex set $V$, all $0 \leq j \leq k$, all $G \in K^{(A \uplus V)}$, and all $\phi \in \Hom([j],V)$; the components $\overline{T}^{(V)}(G)_j$ for $j>k$ are of course trivial.",/home/shufan/que_tex/hereditary_submit.tex,definition[]," Let K = (K_j)_j=0^k be a finite palette.  A local modification rule is a pair T = (A, T), where A is a finite vertex set, and T is a collection of maps T_j: K^(A ⊎ [j])→ K_=j^([j]) for 0 ≤ j ≤ k which obey the ([j],[j])-equivariance condition

    K_=j^(ϕ)∘ T_j = T_j ∘ K^(𝕀_A ⊎ϕ)

for all ϕ∈([j],[j]).  Given such a rule, and given a vertex set V, we define the modification map T^(V): K^(A ⊎ V)→ K^(V) by the formula

    T^(V)(G)_j(ϕ) := T_j(K^(𝕀_A ⊎ϕ)(G))(ϕ)

for every vertex set V, all 0 ≤ j ≤ k, all G ∈ K^(A ⊎ V), and all ϕ∈([j],V); the components T^(V)(G)_j for j>k are of course trivial.","Local modification rule, concrete definition"," Let K = (K_j)_j=0^k be a finite palette.  A local modification rule is a pair T = (A, T), where A is a finite vertex set, and T is a collection of maps T_j: K^(A ⊎ [j])→ K_=j^([j]) for 0 ≤ j ≤ k which obey the ([j],[j])-equivariance condition

    K_=j^(ϕ)∘ T_j = T_j ∘ K^(𝕀_A ⊎ϕ)

for all ϕ∈([j],[j]).  Given such a rule, and given a vertex set V, we define the modification map T^(V): K^(A ⊎ V)→ K^(V) by the formula

    T^(V)(G)_j(ϕ) := T_j(K^(𝕀_A ⊎ϕ)(G))(ϕ)

for every vertex set V, all 0 ≤ j ≤ k, all G ∈ K^(A ⊎ V), and all ϕ∈([j],V); the components T^(V)(G)_j for j>k are of course trivial."
"Local modification rule, categorical definition","\label{locmod}  Let $K$ be a finite palette.  A \emph{local modification rule} is a pair $T = (A, T)$, where $A$ is a finite vertex set, and $T$ is an assignment of a map $\overline{T}^{(V)}: K^{(A \uplus V)} \to K^{(V)}$ for every vertex set $V$ (where $A \uplus V$ denotes the disjoint union of $A$ and $V$), such that the diagram
\begin{equation}\label{natural}
\begin{CD}
K^{(A \uplus V)}                @>{\overline{T}^{(V)}}>>   K^{(V)} \\
@VV{K^{(\id_A \oplus \phi)}}V                             @VV{K^{(\phi)}}V            \\
K^{(A \uplus W)}                @>{\overline{T}^{(W)}}>>   K^{(W)}
\end{CD}
\end{equation}
commutes for any morphism $\phi \in \Hom(W,V)$ between two vertex sets $W,V$.",/home/shufan/que_tex/hereditary_submit.tex,definition[],"  Let K be a finite palette.  A local modification rule is a pair T = (A, T), where A is a finite vertex set, and T is an assignment of a map T^(V): K^(A ⊎ V)→ K^(V) for every vertex set V (where A ⊎ V denotes the disjoint union of A and V), such that the diagram

    K^(A ⊎ V)                @>T^(V)>>   K^(V)
    
    @VVK^(𝕀_A ⊕ϕ)V                             @VVK^(ϕ)V            
    
    K^(A ⊎ W)                @>T^(W)>>   K^(W)

commutes for any morphism ϕ∈(W,V) between two vertex sets W,V.","Local modification rule, categorical definition","  Let K be a finite palette.  A local modification rule is a pair T = (A, T), where A is a finite vertex set, and T is an assignment of a map T^(V): K^(A ⊎ V)→ K^(V) for every vertex set V (where A ⊎ V denotes the disjoint union of A and V), such that the diagram

    K^(A ⊎ V)                @>T^(V)>>   K^(V)
    
    @VVK^(𝕀_A ⊕ϕ)V                             @VVK^(ϕ)V            
    
    K^(A ⊎ W)                @>T^(W)>>   K^(W)

commutes for any morphism ϕ∈(W,V) between two vertex sets W,V."
Entailment and modification,"\label{entail} Let $(A,T)$ be a local modofication rule.  We say that this rule \emph{entails} a $K$-property $\P$ if $\overline{T}^{(V)}( K^{(A \uplus V)} ) \subset \P^{(V)}$ for any vertex set $V$.
\begin{itemize}
\item If $G = (V,\B,\nu,(G_j)_{j=0}^\infty)$ is a continuous $K$-coloured hypergraph, and $v = (v_a)_{ a \in A} \in V^A$ is a collection of vertices in $a$, we define the \emph{modification} $T_v(G) = (V, \B, \nu, (G'_j)_{j=0}^\infty)$ of $G$ to be the continuous $K$-coloured hypergraph given by the requirement that
$$ T_v(G)^{(W)}( w ) = \overline{T}^{(W)}( \overline{G}^{(A \uplus W)}( v, w ) )$$
for all vertex sets $W$ and all $w \in V^W$; one can verify that this requirement uniquely defines a continuous $K$-coloured hypergraph $T_v(G)$.  Note that if $T$ entails $\P$, then $T_v(G)$ obeys $\P$ for every continuous $K$-coloured hypergraph $G$ on a vertex set $V$, and any $v \in V^A$.
\item If $G = (G_j)_{j=0}^\infty$ is a $K$-coloured hypergraph on a vertex set $V$, and $\phi \in \Hom(A,V)$, then we define the \emph{modification} $T_\phi(G)$ of $G$ to be the $K$-coloured hypergraph $G' = (G'_j)_{j=0}^\infty$ on $V \backslash \phi(A)$ defined by the formula
$$ T_\phi(G) = \overline{T}^{(V \backslash \phi(A))}( K^{(\phi \uplus \id_{V \backslash \phi(A)})}(G) ),$$
where $\phi \uplus \id_{V \backslash \phi(A)}: A \uplus (V \backslash \phi(A)) \to V$ is the bijection formed by the direct sum of $\phi: A \to \phi(A)$ and the identity map $\id_{V \backslash\phi(A)}: V \backslash \phi(A) \to V \backslash \phi(A)$.  Again, note that if $T$ entails $\P$, then $T_\phi(G)$ obeys $\P$ for every $K$-coloured hypergraph on a vertex set $V$, and any $\phi \in \Hom(A,V)$.
\end{itemize}",/home/shufan/que_tex/hereditary_submit.tex,definition[]," Let (A,T) be a local modofication rule.  We say that this rule entails a K-property  if T^(V)( K^(A ⊎ V) ) ⊂^(V) for any vertex set V.


  * If G = (V,,ν,(G_j)_j=0^∞) is a continuous K-coloured hypergraph, and v = (v_a)_ a ∈ A∈ V^A is a collection of vertices in a, we define the modification T_v(G) = (V, , ν, (G'_j)_j=0^∞) of G to be the continuous K-coloured hypergraph given by the requirement that

    T_v(G)^(W)( w ) = T^(W)( G^(A ⊎ W)( v, w ) )

for all vertex sets W and all w ∈ V^W; one can verify that this requirement uniquely defines a continuous K-coloured hypergraph T_v(G).  Note that if T entails , then T_v(G) obeys  for every continuous K-coloured hypergraph G on a vertex set V, and any v ∈ V^A.

  * If G = (G_j)_j=0^∞ is a K-coloured hypergraph on a vertex set V, and ϕ∈(A,V), then we define the modification T_ϕ(G) of G to be the K-coloured hypergraph G' = (G'_j)_j=0^∞ on V \ϕ(A) defined by the formula

    T_ϕ(G) = T^(V \ϕ(A))( K^(ϕ⊎𝕀_V \ϕ(A))(G) ),

where ϕ⊎𝕀_V \ϕ(A): A ⊎ (V \ϕ(A)) → V is the bijection formed by the direct sum of ϕ: A →ϕ(A) and the identity map 𝕀_V \ϕ(A): V \ϕ(A) → V \ϕ(A).  Again, note that if T entails , then T_ϕ(G) obeys  for every K-coloured hypergraph on a vertex set V, and any ϕ∈(A,V).
",Entailment and modification," Let (A,T) be a local modofication rule.  We say that this rule entails a K-property  if T^(V)( K^(A ⊎ V) ) ⊂^(V) for any vertex set V.


  * If G = (V,,ν,(G_j)_j=0^∞) is a continuous K-coloured hypergraph, and v = (v_a)_ a ∈ A∈ V^A is a collection of vertices in a, we define the modification T_v(G) = (V, , ν, (G'_j)_j=0^∞) of G to be the continuous K-coloured hypergraph given by the requirement that

    T_v(G)^(W)( w ) = T^(W)( G^(A ⊎ W)( v, w ) )

for all vertex sets W and all w ∈ V^W; one can verify that this requirement uniquely defines a continuous K-coloured hypergraph T_v(G).  Note that if T entails , then T_v(G) obeys  for every continuous K-coloured hypergraph G on a vertex set V, and any v ∈ V^A.

  * If G = (G_j)_j=0^∞ is a K-coloured hypergraph on a vertex set V, and ϕ∈(A,V), then we define the modification T_ϕ(G) of G to be the K-coloured hypergraph G' = (G'_j)_j=0^∞ on V \ϕ(A) defined by the formula

    T_ϕ(G) = T^(V \ϕ(A))( K^(ϕ⊎𝕀_V \ϕ(A))(G) ),

where ϕ⊎𝕀_V \ϕ(A): A ⊎ (V \ϕ(A)) → V is the bijection formed by the direct sum of ϕ: A →ϕ(A) and the identity map 𝕀_V \ϕ(A): V \ϕ(A) → V \ϕ(A).  Again, note that if T entails , then T_ϕ(G) obeys  for every K-coloured hypergraph on a vertex set V, and any ϕ∈(A,V).
"
Local repairability,"\label{locrep}  Let $K$ be a finite palette of some order $k$, and let $\P$ be a hereditary $K$-property.
\begin{itemize}
\item We say that $\P$ is \emph{strongly locally repairable} if for every $\eps > 0$ there exists a finite set $A$, an $N > 0$, and a real number $\delta > 0$ with the following property: Whenever $G = (V,\B,\nu,(G_j)_{j=0}^k)$ is a continuous $K$-coloured hypergraph which approximately locally obeys $\P$ in the sense that\footnote{We use $\I(E)$ to denote the indicator of an event $E$, thus $\I(E)=1$ when $E$ is true and $\I(E)=0$ otherwise.}
\begin{equation}\label{gp}
 \int_{V^{[N]}} \I\left(\overline{G}^{([N])}(v) \in \P^{([N])}\right)\ d\nu^{[N]}(v) \geq 1-\delta,
\end{equation}
where $\nu^{[N]}$ is the $N$-fold product measure of $\nu$ on $V^{[N]}$, then there exists a local modification rule $T = (A,T)$ that entails $\P$, which does not significantly modify $G$ in the sense that
\begin{equation}\label{intv}
 \int_{V^A} \int_{V^{[k]}} \I\left( \overline{T_v(G)}^{([k])}(w) \neq \overline{G}^{([k])}(w) \right)\ d\nu^A(v) d\nu^{[k]}(w)  \leq \eps.
\end{equation}
\item We say that $\P$ is \emph{weakly locally repairable} if for every $\eps > 0$ there exists a finite set $A$, an integer $N \geq |A|+k$, and a real number $\delta > 0$ with the following property: whenever $G$ is a $K$-coloured hypergraph on a vertex set $V$ with $N \leq |V| < \infty$ which approximately obeys $\P$ in the sense of \eqref{injv}, then there exists a local modification rule $T = (A,T)$ and $\phi \in \Hom(A,V)$ such that $T_\phi(G)$ obeys $\P$, and which is close to $G$ in the sense that
\begin{equation}\label{psieps}
 \frac{1}{\left|\binom{V \backslash \phi(A)}{k}\right|} \left|\left\{ W \in \binom{V \backslash \phi(A)}{k} : T_\phi(G)\downharpoonright_W \neq G\downharpoonright_W \right\}\right|  \leq \eps.
 \end{equation}
\end{itemize}",/home/shufan/que_tex/hereditary_submit.tex,definition[],"  Let K be a finite palette of some order k, and let  be a hereditary K-property.


  * We say that  is strongly locally repairable if for every > 0 there exists a finite set A, an N > 0, and a real number δ > 0 with the following property: Whenever G = (V,,ν,(G_j)_j=0^k) is a continuous K-coloured hypergraph which approximately locally obeys  in the sense that[We use (E) to denote the indicator of an event E, thus (E)=1 when E is true and (E)=0 otherwise.]

    ∫_V^[N](G^([N])(v) ∈^([N])) dν^[N](v) ≥ 1-δ,

where ν^[N] is the N-fold product measure of ν on V^[N], then there exists a local modification rule T = (A,T) that entails , which does not significantly modify G in the sense that

    ∫_V^A∫_V^[k]( T_v(G)^([k])(w) ≠G^([k])(w) ) dν^A(v) dν^[k](w)  ≤.


  * We say that  is weakly locally repairable if for every > 0 there exists a finite set A, an integer N ≥ |A|+k, and a real number δ > 0 with the following property: whenever G is a K-coloured hypergraph on a vertex set V with N ≤ |V| < ∞ which approximately obeys  in the sense of (<ref>), then there exists a local modification rule T = (A,T) and ϕ∈(A,V) such that T_ϕ(G) obeys , and which is close to G in the sense that

    1/|V \ϕ(A)k||{ W ∈V \ϕ(A)k : T_ϕ(G)⇂_W ≠ G⇂_W }|  ≤.

",Local repairability,"  Let K be a finite palette of some order k, and let  be a hereditary K-property.


  * We say that  is strongly locally repairable if for every > 0 there exists a finite set A, an N > 0, and a real number δ > 0 with the following property: Whenever G = (V,,ν,(G_j)_j=0^k) is a continuous K-coloured hypergraph which approximately locally obeys  in the sense that[We use (E) to denote the indicator of an event E, thus (E)=1 when E is true and (E)=0 otherwise.]

    ∫_V^[N](G^([N])(v) ∈^([N])) dν^[N](v) ≥ 1-δ,

where ν^[N] is the N-fold product measure of ν on V^[N], then there exists a local modification rule T = (A,T) that entails , which does not significantly modify G in the sense that

    ∫_V^A∫_V^[k]( T_v(G)^([k])(w) ≠G^([k])(w) ) dν^A(v) dν^[k](w)  ≤.


  * We say that  is weakly locally repairable if for every > 0 there exists a finite set A, an integer N ≥ |A|+k, and a real number δ > 0 with the following property: whenever G is a K-coloured hypergraph on a vertex set V with N ≤ |V| < ∞ which approximately obeys  in the sense of (<ref>), then there exists a local modification rule T = (A,T) and ϕ∈(A,V) such that T_ϕ(G) obeys , and which is close to G in the sense that

    1/|V \ϕ(A)k||{ W ∈V \ϕ(A)k : T_ϕ(G)⇂_W ≠ G⇂_W }|  ≤.

"
