,term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def,diff_tokens
36,non-empty;for sufficiently fine $\alpha$;tends to $c_\infty$ as $\alpha \to \infty$,"[Colouring topology]\label{color-top}  Let $Z$ be a sub-Cantor palette of order at most $k$.  For each $0 \leq j \leq k$, we let $\Col_j(Z)$ denote the collection of all finite $\sigma$-algebras $\B$ of $Z_j$ that are generated by clopen sets, and let $\Col(Z) := \prod_{j=0}^k \Col_j(Z)$.  Note that every colouring $\alpha = (\alpha_j)_{j=0}^\infty: Z \to A$ generates an element $\B_\alpha = (\B_{\alpha_j})_{j=0}^k$ of $\Col(Z)$, where $\B_{\alpha_j}$ is the $\sigma$-algebra of $Z_j$ is generated by the level sets of $\alpha_j: Z_j \to A_j$.  (The maps $\alpha_j$ for $j>k$ are trivial and thus of no consequence.)

We endow $\Col(Z)$ with the topology whose sub-basic open sets take the form
\begin{equation}\label{sub-basic}
\{ (\B_j)_{j=0}^k \in \Col(Z): \B_i \supset F( \B_{i+1},\ldots, \B_k ) \}
\end{equation}
where $0 \leq i \leq k$ and $F: \Col_{i+1}(Z) \times \ldots \times \Col_k(Z) \to \Col_i(Z)$ is an arbitrary function.  Thus a set is open if it is the union of sets which are finite intersections of sets of the form \eqref{sub-basic}.  We make the simple but important observation that the intersection of finitely many non-empty open sets in $\Col(Z)$ is again a \emph{non-empty} open set.

Let $\alpha: Z \to A$ be a colouring.  A statement involving $\alpha$ is said to hold \emph{for sufficiently fine $\alpha$} if there exists a non-empty open set $U \subset \Col(Z)$ such that the statement holds whenever $\B_\alpha \in U$.  If $c(\alpha) \in \R$ is a real-valued quantity depending\footnote{Technically, the class of all colourings on a given palette $Z$ is not a set, so that $c$ here is a class function rather than a function, but one can rectify this by any number of artificial expedients, for instance by forcing all palettes to take values in the set of integers.} on $\alpha$, and $c_\infty$ is a real number, we say that $c(\alpha)$ \emph{tends to $c_\infty$ as $\alpha \to \infty$} , and write $\lim_{\alpha \to \infty} c(\alpha) = c_\infty$ or $c(\alpha) = c_\infty + o_{\alpha \to \infty}(1)$, if for every $\eps > 0$, the statement $|c(\alpha) - c_\infty| \leq \eps$ is true for sufficiently fine $\alpha$.
",/home/shufan/que_tex/hereditary_submit.tex,definition + \emph{},"[Colouring topology]  Let Z be a sub-Cantor palette of order at most k.  For each 0 ≤ j ≤ k, we let _j(Z) denote the collection of all finite σ-algebras  of Z_j that are generated by clopen sets, and let (Z) := ∏_j=0^k _j(Z).  Note that every colouring α = (α_j)_j=0^∞: Z → A generates an element _α = (_α_j)_j=0^k of (Z), where _α_j is the σ-algebra of Z_j is generated by the level sets of α_j: Z_j → A_j.  (The maps α_j for j>k are trivial and thus of no consequence.)

We endow (Z) with the topology whose sub-basic open sets take the form

    { (_j)_j=0^k ∈(Z): _i ⊃ F( _i+1,…, _k ) }

where 0 ≤ i ≤ k and F: _i+1(Z) ×…×_k(Z) →_i(Z) is an arbitrary function.  Thus a set is open if it is the union of sets which are finite intersections of sets of the form (<ref>).  We make the simple but important observation that the intersection of finitely many non-empty open sets in (Z) is again a non-empty open set.

Let α: Z → A be a colouring.  A statement involving α is said to hold for sufficiently fine α if there exists a non-empty open set U ⊂(Z) such that the statement holds whenever _α∈ U.  If c(α) ∈ is a real-valued quantity depending[Technically, the class of all colourings on a given palette Z is not a set, so that c here is a class function rather than a function, but one can rectify this by any number of artificial expedients, for instance by forcing all palettes to take values in the set of integers.] on α, and c_∞ is a real number, we say that c(α) tends to c_∞ as α→∞ , and write lim_α→∞ c(α) = c_∞ or c(α) = c_∞ + o_α→∞(1), if for every > 0, the statement |c(α) - c_∞| ≤ is true for sufficiently fine α.
",non-empty;for sufficiently fine α;tends to c_∞ as α→∞,"[Colouring topology]  Let Z be a sub-Cantor palette of order at most k.  For each 0 ≤ j ≤ k, we let _j(Z) denote the collection of all finite σ-algebras  of Z_j that are generated by clopen sets, and let (Z) := ∏_j=0^k _j(Z).  Note that every colouring α = (α_j)_j=0^∞: Z → A generates an element _α = (_α_j)_j=0^k of (Z), where _α_j is the σ-algebra of Z_j is generated by the level sets of α_j: Z_j → A_j.  (The maps α_j for j>k are trivial and thus of no consequence.)

We endow (Z) with the topology whose sub-basic open sets take the form

    { (_j)_j=0^k ∈(Z): _i ⊃ F( _i+1,…, _k ) }

where 0 ≤ i ≤ k and F: _i+1(Z) ×…×_k(Z) →_i(Z) is an arbitrary function.  Thus a set is open if it is the union of sets which are finite intersections of sets of the form (<ref>).  We make the simple but important observation that the intersection of finitely many non-empty open sets in (Z) is again a B_MATH_TERM open set.

Let α: Z → A be a colouring.  A statement involving α is said to hold B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM if there exists a non-empty open set U ⊂(Z) such that the statement holds whenever _α∈ U.  If c(α) ∈ is a real-valued quantity depending[Technically, the class of all colourings on a given palette Z is not a set, so that c here is a class function rather than a function, but one can rectify this by any number of artificial expedients, for instance by forcing all palettes to take values in the set of integers.] on α, and c_∞ is a real number, we say that c(α) B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM , and write lim_α→∞ c(α) = c_∞ or c(α) = c_∞ + o_α→∞(1), if for every > 0, the statement |c(α) - c_∞| ≤ is true for sufficiently fine α.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_MATH_TERM O O O O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
71,$\vect{k;$\vect{k,"
Given a multigraded combinatorial Hopf algebra $(\hopf,\phi)$ and $\vect{k} \in \NNinfl$, we call $\ideal^{\vect{k}}(\overline{\phi}, \phi^{-1})$ the \emph{$\vect{k}$-odd Hopf ideal} of $(\hopf,\phi)$ and denote it by $\ideal\kodd^{\vect{k}}(\hopf, \phi)$, or simply by $\ideal\kodd^{\vect{k}}(\hopf)$ when $\phi$ is obvious from context.
Similarly, we call $\ideal^{\vect{k}}(\overline{\phi}, \phi)$ the \emph{$\vect{k}$-even ideal} of $(\hopf,\phi)$ and denote it by $\ideal\keven^{\vect{k}}(\hopf, \phi)$, or simply by $\ideal\keven^{\vect{k}}(\hopf)$ when $\phi$ is obvious from context.
",/home/shufan/que_tex/0910.5773.tex,definition + \emph{},"
Given a multigraded combinatorial Hopf algebra (,ϕ) and k∈, we call ^k(ϕ, ϕ^-1) the k-odd Hopf ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
Similarly, we call ^k(ϕ, ϕ) the k-even ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
",k;k,"
Given a multigraded combinatorial Hopf algebra (,ϕ) and k∈, we call ^k(ϕ, ϕ^-1) the B_MATH_TERM-odd Hopf ideal of(,ϕ)and denote it by^k(, ϕ), or simply by^k()whenϕis obvious from context.
Similarly, we call^k(ϕ, ϕ)the B_MATH_TERM-even ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
73,permutohedron of index~$n$,"\label{D:DefOrdPerm}
The \emph{permutohedron of index~$n$} , denoted by $\sP(n)$, is the set of all clopen subsets of~$\cI_n$, partially ordered by inclusion.
",/home/shufan/que_tex/Tamari.tex,definition + \emph{},"
The permutohedron of index n , denoted by (n), is the set of all clopen subsets of _n, partially ordered by inclusion.
",permutohedron of index n,"
The B_MATH_TERM I_MATH_TERM I_MATH_TERM , denoted by (n), is the set of all clopen subsets of _n, partially ordered by inclusion.
",O B_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O,True
74,transitive;associahedron on~$n$,"\label{D:Alterno}
We define $\sP_U(n)$ as the collection of all \emph{transitive} members of~$\sD_U(n)$, and we order~$\sP_U(n)$ by set-theoretical inclusion. For $U=[n]$, we set $\sA(n):=\sP_{[n]}(n)$, the \emph{associahedron on~$n$} .
",/home/shufan/que_tex/Tamari.tex,definition + \emph{},"
We define _U(n) as the collection of all transitive members of _U(n), and we order _U(n) by set-theoretical inclusion. For U=[n], we set (n):=_[n](n), the associahedron on n .
",transitive;associahedron on n,"
We define _U(n) as the collection of all B_MATH_TERM members of _U(n), and we order _U(n) by set-theoretical inclusion. For U=[n], we set (n):=_[n](n), the B_MATH_TERM I_MATH_TERM .
",O O O O O O O O B_MATH_TERM O O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM O,True
75,join-fits within~$L$,"\label{D:Fits}
We say that a \jzu-subsemilattice~$K$ of a finite lattice~$L$ \emph{join-fits within~$L$} if
 \[
 (\forall(p,q)\in\J(K)\times\J(L))(p\bD_L q\Rightarrow q\in K)\,.
 \]
",/home/shufan/que_tex/Tamari.tex,definition + \emph{},"
We say that a -subsemilattice K of a finite lattice L join-fits within L if
 
    (∀(p,q)∈(K)×(L))(p_L q⇒ q∈ K) .

",join-fits within L,"
We say that a -subsemilattice K of a finite lattice L B_MATH_TERM I_MATH_TERM if
 
    (∀(p,q)∈(K)×(L))(p_L q⇒ q∈ K) .

",O O O O O O O O O O O B_MATH_TERM I_MATH_TERM O O O O O O,True
76,"$L$-valued $U$-polarized measure on~$P$;V-condition;the refinement problem $\mu(x,y)\leq\ba\vee\bb$ can be solved in~$P$;polarized measure","\label{D:PolMeas}
Let $L$ be a \js, let~$P$ be a poset, and let $U\subseteq P$. An \emph{$L$-valued $U$-polarized measure on~$P$} is a map $\mu\colon\so{P}\to L$ such that
\begin{enumerate}
\item $\mu(x,z)\leq\mu(x,y)\vee\mu(y,z)$;

\item $y\in U$ implies that $\mu(x,y)\leq\mu(x,z)$;

\item $y\notin U$ implies that $\mu(y,z)\leq\mu(x,z)$,
\end{enumerate}
for all $x<y<z$ in~$P$. Furthermore, we say that~$\mu$ satisfies the
\emph{V-condition} if for all $(x,y)\in\so{P}$ and all $\ba,\bb\in L$,
  \begin{align}
    \label{Condition:V}
    \tag{V}
    \text{\em if
    $\mu(x,y)\leq\ba\vee\bb$, then} & \\\notag
    \text{\em there are $m \geq 1$ and } & \text{\em 
    a subdivision $x=z_0<z_1<\cdots<z_m=y$ in~$P$ such that} \\
  \notag
  & \text{\em either~$\mu(z_i,z_{i+1})\leq\ba$ or $\mu(z_i,z_{i+1})\leq\bb$ for each $i<m$\,.}
\end{align}
If \eqref{Condition:V} holds, then we shall say that \emph{the refinement problem $\mu(x,y)\leq\ba\vee\bb$ can be solved in~$P$} .
In case $U=P$, we shall say \emph{polarized measure} instead of
$U$-polarized measure. Furthermore, if~$L$ has a least element~$0$,
then we shall often extend the $U$-polarized measures by setting
$\mu(x,x):=0$ for each $x\in P$.
",/home/shufan/que_tex/Tamari.tex,definition + \emph{},"
Let L be a , let P be a poset, and let U⊆ P. An L-valued U-polarized measure on P is a map μP→ L such that


  * μ(x,z)≤μ(x,y)∨μ(y,z);


  * y∈ U implies that μ(x,y)≤μ(x,z);


  * y∉ U implies that μ(y,z)≤μ(x,z),

for all x<y<z in P. Furthermore, we say that μ satisfies the
V-condition if for all (x,y)∈P and all ,∈ L,
  
    V if
        μ(x,y)≤∨, then   
     there are m ≥ 1 and     
        a subdivision x=z_0<z_1<⋯<z_m=y in P such that
        either μ(z_i,z_i+1)≤ or μ(z_i,z_i+1)≤ for each i<m .

If (<ref>) holds, then we shall say that the refinement problem μ(x,y)≤∨ can be solved in P .
In case U=P, we shall say polarized measure instead of
U-polarized measure. Furthermore, if L has a least element 0,
then we shall often extend the U-polarized measures by setting
μ(x,x):=0 for each x∈ P.
","L-valued U-polarized measure on P;V-condition;the refinement problem μ(x,y)≤∨ can be solved in P;polarized measure","
Let L be a , let P be a poset, and let U⊆ P. An B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM is a map μP→ L such that


  * μ(x,z)≤μ(x,y)∨μ(y,z);


  * y∈ U implies that μ(x,y)≤μ(x,z);


  * y∉ U implies that μ(y,z)≤μ(x,z),

for all x<y<z in P. Furthermore, we say that μ satisfies the
B_MATH_TERM if for all (x,y)∈P and all ,∈ L,
  
    V if
        μ(x,y)≤∨, then   
     there are m ≥ 1 and     
        a subdivision x=z_0<z_1<⋯<z_m=y in P such that
        either μ(z_i,z_i+1)≤ or μ(z_i,z_i+1)≤ for each i<m .

If (<ref>) holds, then we shall say that B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM .
In case U=P, we shall say B_MATH_TERM I_MATH_TERM instead of
U-polarized measure. Furthermore, if L has a least element 0,
then we shall often extend the U-polarized measures by setting
μ(x,x):=0 for each x∈ P.
",O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O B_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
84,simple local complement of ;at,"
\label{lc} Let $S$ be a symmetric $n\times n$ matrix, and suppose $1\leq i\leq
n$. Then the \emph{simple local complement of }$S$ \emph{at} $i$ is the
symmetric $GF(2)$-matrix $S^{i}$ obtained from $S$ as follows: whenever $i\neq
j\neq k\neq i$ and $s_{ij}\neq0\neq s_{ik}$, toggle $s_{jk}$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
 Let S be a symmetric n× n matrix, and suppose 1≤ i≤
n. Then the simple local complement of S at i is the
symmetric GF(2)-matrix S^i obtained from S as follows: whenever i≠
j≠ k≠ i and s_ij≠0≠ s_ik, toggle s_jk.
",simple local complement of ;at,"
 Let S be a symmetric n× n matrix, and suppose 1≤ i≤
n. Then the B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERMS B_MATH_TERM i is the
symmetric GF(2)-matrix S^i obtained from S as follows: whenever i≠
j≠ k≠ i and s_ij≠0≠ s_ik, toggle s_jk.
",O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM O B_MATH_TERM O O O O O O O O O O O O O O O O O O O O O,True
85,(non-simple) local complement of ;at,"
\label{nslc}Let $S$ be a symmetric $n\times n$ matrix, and suppose $1\leq
i\leq n$. Then the \emph{(non-simple) local complement of }$S$ \emph{at} $i$
is the symmetric matrix $S_{ns}^{i}$ obtained from $S^{i}$ as follows:
whenever $j\neq i$ and $s_{ij}\neq0$, toggle $s_{jj}$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
Let S be a symmetric n× n matrix, and suppose 1≤
i≤ n. Then the (non-simple) local complement of S at i
is the symmetric matrix S_ns^i obtained from S^i as follows:
whenever j≠ i and s_ij≠0, toggle s_jj.
",(non-simple) local complement of ;at,"
Let S be a symmetric n× n matrix, and suppose 1≤
i≤ n. Then the B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERMS B_MATH_TERM i
is the symmetric matrix S_ns^i obtained from S^i as follows:
whenever j≠ i and s_ij≠0, toggle s_jj.
",O O O O O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM O B_MATH_TERM O O O O O O O O O O O O O O O O O O,True
97,prismatoid shelling of $\calC$ from $B^+$ to $B^-$,"
\label{defi:shellable}
Let $\calC$ be a topological prismatoid with bases $B^+$ and $B^-$. A \emph{prismatoid shelling of $\calC$ from $B^+$ to $B^-$} is an ordering $F_1,\dots, F_K$ of the facets of $\calC$ with the following property: for each $i=1,\dots,K$, the intersection of $|F_i|$ with $|B^+| \cup |F_1|,\cup \dots \cup |F_{i-1}|$ is a $(d-2)$-ball in the boundary complex of $F_i$. Here, the notation $| \cdot |$ applied to a subset of vertices means the subcomplex induced by them.
",/home/shufan/que_tex/prismatoid.tex,definition + \emph{},"

Let  be a topological prismatoid with bases B^+ and B^-. A prismatoid shelling of  from B^+ to B^- is an ordering F_1,…, F_K of the facets of  with the following property: for each i=1,…,K, the intersection of |F_i| with |B^+| ∪ |F_1|,∪…∪ |F_i-1| is a (d-2)-ball in the boundary complex of F_i. Here, the notation | · | applied to a subset of vertices means the subcomplex induced by them.
",prismatoid shelling of  from B^+ to B^-,"

Let  be a topological prismatoid with bases B^+ and B^-. A B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM is an ordering F_1,…, F_K of the facets of  with the following property: for each i=1,…,K, the intersection of |F_i| with |B^+| ∪ |F_1|,∪…∪ |F_i-1| is a (d-2)-ball in the boundary complex of F_i. Here, the notation | · | applied to a subset of vertices means the subcomplex induced by them.
",O O O O O O O O O O O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
112,$\mathcal N$ Polytope Factorization Basis,"\label{def:factorization.basis} A \emph{$\mathcal N$ Polytope Factorization Basis} is the set of polytopes $\mathcal B(\mathcal N)= \{B_1, \ldots, B_r \}$ associated via Proposition \ref{prop:polytope.factorization} to a lattice basis $ B(\mathcal N)=\{b_1, \ldots, b_r \}$ for the linear span of $W (\mathcal N)$ over $\mathbb Z$ which consists of non-negative vectors $b_i$.
",/home/shufan/que_tex/factorization_arxiv.tex,definition + \emph{}," A 𝒩 Polytope Factorization Basis is the set of polytopes ℬ(𝒩)= {B_1, …, B_r } associated via Proposition <ref> to a lattice basis B(𝒩)={b_1, …, b_r } for the linear span of W (𝒩) over ℤ which consists of non-negative vectors b_i.
",𝒩 Polytope Factorization Basis," A B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM is the set of polytopes ℬ(𝒩)= {B_1, …, B_r } associated via Proposition <ref> to a lattice basis B(𝒩)={b_1, …, b_r } for the linear span of W (𝒩) over ℤ which consists of non-negative vectors b_i.
",O B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
