term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
$\vect{k;$\vect{k,"
Given a multigraded combinatorial Hopf algebra $(\hopf,\phi)$ and $\vect{k} \in \NNinfl$, we call $\ideal^{\vect{k}}(\overline{\phi}, \phi^{-1})$ the \emph{$\vect{k}$-odd Hopf ideal} of $(\hopf,\phi)$ and denote it by $\ideal\kodd^{\vect{k}}(\hopf, \phi)$, or simply by $\ideal\kodd^{\vect{k}}(\hopf)$ when $\phi$ is obvious from context.
Similarly, we call $\ideal^{\vect{k}}(\overline{\phi}, \phi)$ the \emph{$\vect{k}$-even ideal} of $(\hopf,\phi)$ and denote it by $\ideal\keven^{\vect{k}}(\hopf, \phi)$, or simply by $\ideal\keven^{\vect{k}}(\hopf)$ when $\phi$ is obvious from context.
",/home/shufan/que_tex/0910.5773.tex,definition + \emph{},"
Given a multigraded combinatorial Hopf algebra (,ϕ) and k∈, we call ^k(ϕ, ϕ^-1) the k-odd Hopf ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
Similarly, we call ^k(ϕ, ϕ) the k-even ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
",k;k,"
Given a multigraded combinatorial Hopf algebra (,ϕ) and k∈, we call ^k(ϕ, ϕ^-1) the B_MATH_TERM-odd Hopf ideal of(,ϕ)and denote it by^k(, ϕ), or simply by^k()whenϕis obvious from context.
Similarly, we call^k(ϕ, ϕ)the B_MATH_TERM-even ideal of (,ϕ) and denote it by ^k(, ϕ), or simply by ^k() when ϕ is obvious from context.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Kotzig's theorem,"
(\textit{Kotzig's theorem}) All the Euler systems of a 4-regular multigraph
can be obtained from any one by applying finite sequences of $\kappa$-transformations.
",/home/shufan/que_tex/lcinvd.tex,theorem + \textit{},"
(Kotzig's theorem) All the Euler systems of a 4-regular multigraph
can be obtained from any one by applying finite sequences of κ-transformations.
",Kotzig's theorem,"
(B_MATH_TERM I_MATH_TERM) All the Euler systems of a 4-regular multigraph
can be obtained from any one by applying finite sequences of κ-transformations.
",O O O O O O O O O O O O O O O O O O O O O O
-transform,"
\label{kappa} If $C$ is an Euler system of a 4-regular multigraph $F$ and
$v\in V(F)$ then the $\kappa$\emph{-transform} $C\ast v$ is the Euler system
obtained by reversing one of the two $v$-to-$v$ trails within the circuit of
$C$ incident at $v$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
 If C is an Euler system of a 4-regular multigraph F and
v∈ V(F) then the κ-transform C∗ v is the Euler system
obtained by reversing one of the two v-to-v trails within the circuit of
C incident at v.
",-transform,"
 If C is an Euler system of a 4-regular multigraph F and
v∈ V(F) then the κB_MATH_TERM C∗ v is the Euler system
obtained by reversing one of the two v-to-v trails within the circuit of
C incident at v.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-transform,"
Let $F$ be a 4-regular multigraph with an Euler system $C$, and suppose
$W\subseteq V(F)$ has the property that an Euler system is obtained from $C$
by using the $\psi$ transition at every vertex in $W$, and the $\chi$
transition at every vertex not in $W$. Then this Euler system is the $\iota
$\emph{-transform} of $C$ with respect to $W$; we denote it $C\#W$.
",/home/shufan/que_tex/lcinvd.tex,definition + \emph{},"
Let F be a 4-regular multigraph with an Euler system C, and suppose
W⊆ V(F) has the property that an Euler system is obtained from C
by using the ψ transition at every vertex in W, and the χ
transition at every vertex not in W. Then this Euler system is the ι-transform of C with respect to W; we denote it C#W.
",-transform,"
Let F be a 4-regular multigraph with an Euler system C, and suppose
W⊆ V(F) has the property that an Euler system is obtained from C
by using the ψ transition at every vertex in W, and the χ
transition at every vertex not in W. Then this Euler system is the ιB_MATH_TERM of C with respect to W; we denote it C#W.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nordhaus-Gaddum relations,"(\emph{Nordhaus-Gaddum relations})\label{teo8}
If $D$ is a digraph of order $n$, then \begin{equation}\label{eq2} dc(D)+dc(D^{c})\leq \left\lceil \frac{4n}{3}\right\rceil \text{ and } dc(D)dc(D^{c})\leq \left(\frac{2n+1}{3}\right)^{2},\end{equation}
\begin{equation}\label{eq3} dac(D)+dc(D^{c})\leq \left\lceil \frac{3n}{2}\right\rceil \text{ and } dac(D)dc(D^{c})\leq\left(\frac{3n+1}{4}\right)^{2}. \end{equation}
",/home/shufan/que_tex/diacroma-2018-04-06.tex,theorem + \emph{},"(Nordhaus-Gaddum relations)
If D is a digraph of order n, then 
    dc(D)+dc(D^c)≤⌈4n/3⌉ and  dc(D)dc(D^c)≤(2n+1/3)^2,


    dac(D)+dc(D^c)≤⌈3n/2⌉ and  dac(D)dc(D^c)≤(3n+1/4)^2.

",Nordhaus-Gaddum relations,"(B_MATH_TERM I_MATH_TERM)
If D is a digraph of order n, then 
    dc(D)+dc(D^c)≤⌈4n/3⌉ and  dc(D)dc(D^c)≤(2n+1/3)^2,


    dac(D)+dc(D^c)≤⌈3n/2⌉ and  dac(D)dc(D^c)≤(3n+1/4)^2.

",O O O O O O O O O O O O O O O O O
$\Phi$-Polytope,A polytope $P\subset \R^n$ whose edges are parallel to roots in $\Phi$ will be called a \emph{Coxeter Polytope} or a \emph{$\Phi$-Polytope}.,/home/shufan/que_tex/factorization_arxiv.tex,definition[],A polytope P⊂^n whose edges are parallel to roots in Φ will be called a Coxeter Polytope or a Φ-Polytope.,Φ-Polytope,A polytope P⊂^n whose edges are parallel to roots in Φ will be called a Coxeter Polytope or a B_MATH_TERM.,O O O O O O O O O O O O O O O O O O O O
Permutahedron,"
Let $G=G(\Phi)$ be the Weyl group associated to $\Phi$ acting on $\R^n$. Fix a point  $x\in \R^n$ which is not on any of the hyperplanes in $\Sigma(\Phi)$. The convex hull of the orbit of $x$ under $G$, $$P_G(x)= \text{conv}(\{g.x~:~g\in G \})$$ is called a $\Phi$-\emph{Permutahedron}. 
",/home/shufan/que_tex/factorization_arxiv.tex,definition + \emph{},"
Let G=G(Φ) be the Weyl group associated to Φ acting on ^n. Fix a point  x∈^n which is not on any of the hyperplanes in Σ(Φ). The convex hull of the orbit of x under G, 
    P_G(x)= conv({g.x : g∈ G })
 is called a Φ-Permutahedron. 
",Permutahedron,"
Let G=G(Φ) be the Weyl group associated to Φ acting on ^n. Fix a point  x∈^n which is not on any of the hyperplanes in Σ(Φ). The convex hull of the orbit of x under G, 
    P_G(x)= conv({g.x : g∈ G })
 is called a Φ-B_MATH_TERM. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nim,"In the game of \emph{Nim}, each position consists of a set of heaps of tokens. In a move, a player must remove a positive number of tokens from a single heap. ",/home/shufan/que_tex/1508.07054.tex,definition + \emph{},"In the game of Nim, each position consists of a set of heaps of tokens. In a move, a player must remove a positive number of tokens from a single heap. ",Nim,"In the game of B_MATH_TERM, each position consists of a set of heaps of tokens. In a move, a player must remove a positive number of tokens from a single heap. ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
pseudorandom,"\label{def:trans}
Let $f:[1,N]\rightarrow\R$ be an arbitrary function.
\begin{enumerate}
\item The function $f$ is said to be $\eta$-\textit{pseudorandom} if
$|\hat{f}(r/N)-\delta_{r,0}N|\leq\eta N$ for each $r\in\Z/N\Z$,
where $\delta_{r,0}$ is the Kronecker delta.
\item The function $f$ is said to satisfy the $L^q$ extension
estimate if $\|\hat{f}\|_q\ll_q N^{1-1/q}$, where the implied
constant depends only on $q$.
\item The function $f$ is said to be $(\beta,\kappa)$-regular if
\[ \sum_{(u,v)\in M}f(u)f(v)\geq\kappa N^2, \]
where
\[ M=\{(u,v):u\leq\beta N,v\geq (1-\beta)N,(v-u,P(\beta^{-1}))=1\}. \]
\end{enumerate}
",/home/shufan/que_tex/vinogradov.tex,definition + \textit{},"
Let f:[1,N]→ be an arbitrary function.


  * The function f is said to be η-pseudorandom if
|f̂(r/N)-δ_r,0N|≤η N for each r∈/N,
where δ_r,0 is the Kronecker delta.

  * The function f is said to satisfy the L^q extension
estimate if f̂_q≪_q N^1-1/q, where the implied
constant depends only on q.

  * The function f is said to be (β,κ)-regular if

    ∑_(u,v)∈ Mf(u)f(v)≥κ N^2,

where

    M={(u,v):u≤β N,v≥ (1-β)N,(v-u,P(β^-1))=1}.


",pseudorandom,"
Let f:[1,N]→ be an arbitrary function.


  * The function f is said to be η-B_MATH_TERM if
|f̂(r/N)-δ_r,0N|≤η N for each r∈/N,
where δ_r,0 is the Kronecker delta.

  * The function f is said to satisfy the L^q extension
estimate if f̂_q≪_q N^1-1/q, where the implied
constant depends only on q.

  * The function f is said to be (β,κ)-regular if

    ∑_(u,v)∈ Mf(u)f(v)≥κ N^2,

where

    M={(u,v):u≤β N,v≥ (1-β)N,(v-u,P(β^-1))=1}.


",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
jumbled,"
Let $p=p(n)$ be a sequence of densities, i.e., $0\leq p\leq 1 $, and let $\beta=\beta(n)$.
An $n$-vertex graph $\Gamma$ is called $(p,\beta)$-\emph{jumbled} if 
\begin{equation*}
\left|e_{\Gamma}(X,Y)-p\vol(X,Y)\right| \leq \beta \vol(X,Y)^{1/2},
\end{equation*}
for all $X,Y \subseteq V(\Gamma).$
",/home/shufan/que_tex/1602.03663.tex,definition + \emph{},"
Let p=p(n) be a sequence of densities, i.e., 0≤ p≤ 1, and let β=β(n).
An n-vertex graph Γ is called (p,β)-jumbled if 

    |e_Γ(X,Y)-p(X,Y)| ≤β(X,Y)^1/2,

for all X,Y ⊆ V(Γ).
",jumbled,"
Let p=p(n) be a sequence of densities, i.e., 0≤ p≤ 1, and let β=β(n).
An n-vertex graph Γ is called (p,β)-B_MATH_TERM if 

    |e_Γ(X,Y)-p(X,Y)| ≤β(X,Y)^1/2,

for all X,Y ⊆ V(Γ).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
